column_name,Meaning,category,Indicator,variable,prop.na
A1_GRADE_IF,Imputation Flag for A1_GRADE_I,,,a1_grade_if,0
FIPSST,State FIPS Code,,,fipsst,0
FORMTYPE,Form Type,,,formtype,0
FPL_IF,Imputation Flag for FPL,,,fpl_if,0
FWC,Selected Child Weight,,,fwc,0
HHCOUNT,Number of People Living at Address,home,,hhcount,0
HHID,Unique HH ID,,,hhid,0
HIGRADE_TVIS,"Highest Level of Education among Reported Adults, Detail",home,,higrade_tvis,0
SC_AGE_LT10,Age of Selected Child - Less than 10 Months,age_sex,,sc_age_lt10,0
SC_AGE_LT4,Age of Selected Child - Less than 4 Months,age_sex,,sc_age_lt4,0
SC_AGE_LT6,Age of Selected Child - Less than 6 Months,age_sex,,sc_age_lt6,0
SC_AGE_LT9,Age of Selected Child - Less than 9 Months,age_sex,,sc_age_lt9,0
SC_HISPANIC_R_IF,Imputation Flag for SC_HISPANIC_R,,,sc_hispanic_r_if,0
SC_RACE_R,"Race of Selected Child, Detailed",race,,sc_race_r,0
SC_RACE_R_IF,Imputation Flag for SC_RACE_R,,,sc_race_r_if,0
SC_SEX_IF,Imputation Flag for SC_SEX,,,sc_sex_if,0
STRATUM,Sampling Stratum,,,stratum,0
TOTAGE_0_5,Count of Children Ages 0 to 5 in Household,home,,totage_0_5,0
TOTAGE_12_17,Count of Children Ages 12 to 17 in Household,home,,totage_12_17,0
TOTAGE_6_11,Count of Children Ages 6 to 11 in Household,home,,totage_6_11,0
TOTCSHCN,Count of Children with Special Health Care Needs in Household,home,,totcshcn,0
TOTFEMALE,Count of Female Children in Household,home,,totfemale,0
TOTMALE,Count of Male Children in Household,home,,totmale,0
TOTNONSHCN,Count of Children without Special Health Care Needs in Household,home,,totnonshcn,0
HIGRADE,Highest Level of Education among Reported Adults,home,,higrade,0
SC_CSHCN,Special Health Care Needs Status of Selected Child,,,sc_cshcn,0
SC_HISPANIC_R,"Hispanic Origin of Selected Child, Recode",race,,sc_hispanic_r,0
SC_RACER,"Race of Selected Child, Recode",race,,sc_racer,0
YEAR,Survey Year,,,year,0
A1_GRADE,Adult 1 - Highest Completed Year of School,home,,a1_grade,0
AGEPOS4,Birth Order of Selected Children in Household,home,,agepos4,0
SC_AGE_YEARS,Age of Selected Child - In Years,age_sex,,sc_age_years,0
SC_SEX,Sex of Selected Child,age_sex,,sc_sex,0
TOTKIDS_R,Number of Children,home,,totkids_r,0
S4Q01,Doctor Visit,,,s4q01,0.001179168
SC_K2Q13,SC Medical Care Currently,,,sc_k2q13,0.001211923
SC_K2Q19,SC Special Therapy Currently,,,sc_k2q19,0.001211923
SC_K2Q22,SC Emotion Develop Behave Treatment,,,sc_k2q22,0.001342941
SC_K2Q16,SC Limited Ability Currently,,,sc_k2q16,0.001408451
SC_K2Q10,SC Medication Currently,,,sc_k2q10,0.00147396
BLOOD,Blood Disorder,comorbidity,1.1,blood,0.001735997
K2Q01_D,Teeth Description,comorbidity,,k2q01_d,0.002423845
CYSTFIB,Cystic Fibrosis,comorbidity,1.1,cystfib,0.0024566
ALLERGIES,Allergies,comorbidity,1.9,allergies,0.002587619
K2Q01,Health Description,comorbidity,,k2q01,0.002685883
HEADACHE,Headaches,comorbidity,1.9,headache,0.002718637
DOWNSYN,Down Syndrome,comorbidity,1.11,downsyn,0.002784147
K2Q37A,Speech Disorder,comorbidity,1.9,k2q37a,0.002915165
HEART,Heart Condition,comorbidity,1.9,heart,0.003111693
K2Q30A,Learning Disability,,1.9,k2q30a,0.003144448
K2Q34A,Behavior Problems,,1.9,k2q34a,0.003144448
CURRCOV,Health Insurance Coverage - Currently Covered (Use CURRINS),,,currcov,0.003177203
CURRINS,Health Insurance Coverage - Currently Covered,,,currins,0.003177203
BREATHING,Difficulty Breathing,,1.ten,breathing,0.003209957
K2Q42A,Epilepsy,,1.9,k2q42a,0.003242712
K2Q38A,Tourette Syndrome,,1.9,k2q38a,0.003308221
K2Q33A,Anxiety,,2.1,k2q33a,0.003373731
K4Q27,Needed Health Care Not Received,,,k4q27,0.003373731
K2Q60A,Intellectual Disability,,1.9,k2q60a,0.00343924
K3Q04_R,Health Insurance Coverage - Past 12 Months (Use INSGAP),,,k3q04_r,0.003537504
K2Q35A,Autism ASD,,2.8,k2q35a,0.003734032
K4Q01,Place Usually Goes Sick,,,k4q01,0.00393056
BLINDNESS,Blindness,,1.9,blindness,0.003996069
GENETIC,Genetic Condition,,1.9,genetic,0.004028824
HOSPITALER,Hospital Emergency Room Visits,,4.7,hospitaler,0.004094333
K2Q32A,Depression,,2.1,k2q32a,0.004127088
K2Q61A,Cerebral Palsy,,1.1,k2q61a,0.004127088
K2Q36A,Developmental Delay,,1.9,k2q36a,0.004192597
K6Q15,Special Education Plan,,,k6q15,0.004225352
K4Q22_R,Mental Health Professional Treatment,,4.4,k4q22_r,0.00442188
